Data;PIB real (2000);IPCA;IPCA Exp (%)
31/jan/10;99,32;4,5900;4,4000
28/fev/10;104,3;4,8300;4,6800
31/mar/10;104,98;5,1700;4,6600
30/abr/10;98,57;5,2600;4,7000
31/mai/10;97,54;5,2200;4,8600
30/jun/10;95,55;4,8400;4,8800
31/jul/10;93,62;4,6000;4,7400
31/ago/10;95,15;4,4900;4,8200
30/set/10;101,02;4,7000;4,9800
31/out/10;106,02;5,2000;5,3100
30/nov/10;111,33;5,6300;5,4200
31/dez/10;119,42;5,9100;5,6100
31/jan/11;124,77;5,9900;5,5200
28/fev/11;130,91;6,0100;5,6700
31/mar/11;138,98;6,3000;5,6100
30/abr/11;137,43;6,5100;5,6100
31/mai/11;132,2;6,5500;4,8600
30/jun/11;124,55;6,7100;4,8800
31/jul/11;122,2;6,8700;4,7400
31/ago/11;120,4;7,2300;5,3500
30/set/11;121,3;7,3100;5,4700
31/out/11;130,73;6,9700;5,8000
30/nov/11;126,74;6,6400;5,5600
31/dez/11;125,01;6,5000;5,5300
31/jan/12;124,34;6,2200;5,3500
29/fev/12;125,05;5,8500;5,3000
31/mar/12;121,35;5,2400;5,2600
30/abr/12;124,59;5,1000;5,4300
31/mai/12;125,32;4,9900;5,5700
30/jun/12;127,16;4,9200;5,5200
31/jul/12;125,37;5,2000;5,3800
31/ago/12;135,17;5,2400;5,5800
30/set/12;135,05;5,2800;5,6800
31/out/12;135,45;5,4500;5,6400
30/nov/12;134,49;5,5300;5,4700
31/dez/12;135,41;5,8400;5,3600
31/jan/13;137,4;6,1500;5,6300
28/fev/13;135,46;6,3100;5,7000
31/mar/13;131,44;6,5900;5,5000
30/abr/13;129,05;6,4900;5,5300
31/mai/13;126,56;6,5000;5,5600
30/jun/13;127,26;6,7000;5,6200
31/jul/13;134,06;6,2700;5,7400
31/ago/13;137,1;6,0900;5,6600
30/set/13;142,27;5,8600;6,0600
31/out/13;138,26;5,8400;6,1600
30/nov/13;134,56;5,7700;6,2500
31/dez/13;138,24;5,9100;6,1400
31/jan/14;141,69;5,5900;6,1100
28/fev/14;143,73;5,6800;6,0200
31/mar/14;149,87;6,1500;6,1700
30/abr/14;151,9;6,2800;6,4200
31/mai/14;148,06;6,3700;6,2200
30/jun/14;145,16;6,5200;6,0300
31/jul/14;142,97;6,5000;6,0100
31/ago/14;140,32;6,5100;5,9500
30/set/14;138,44;6,7500;6,1500
31/out/14;139,83;6,5900;6,3300
30/nov/14;146,85;6,5600;6,4100
31/dez/14;151,32;6,4100;6,5600
31/jan/15;149,44;7,1400;6,7300
28/fev/15;141,76;7,7000;6,9700
31/mar/15;148,81;8,1300;6,8800
30/abr/15;160,54;8,1700;7,0100
31/mai/15;157,11;8,4700;6,1700
30/jun/15;158,3;8,8900;6,1100
31/jul/15;158,28;9,5600;6,3800
31/ago/15;162,67;9,5300;5,9800
30/set/15;169,87;9,4900;5,6600
31/out/15;186,75;9,9300;6,1500
30/nov/15;189,34;10,4800;6,7200
31/dez/15;179,18;10,6700;7,1600
31/jan/16;181,47;10,7100;7,1900
29/fev/16;186,87;10,3600;7,2900
31/mar/16;184,11;9,3900;7,0100
30/abr/16;176;9,2800;6,5200
31/mai/16;170,56;9,3200;6,2100
30/jun/16;173,06;8,8400;6,1700
31/jul/16;173,09;8,7400;6,0100
31/ago/16;163,2;8,9700;5,7000
30/set/16;158,96;8,4800;5,4400
31/out/16;161,88;7,8700;5,0700
30/nov/16;162,04;6,9900;4,8700
31/dez/16;172,03;6,2900;4,8000
31/jan/17;171,83;5,3500;4,6900
28/fev/17;169,88;4,7600;4,7100
31/mar/17;165,86;4,5700;4,5300
30/abr/17;156,07;4,0800;4,4500
31/mai/17;156,15;3,6000;4,4500
30/jun/17;160,04;3,0000;4,6400
31/jul/17;159,74;2,7100;4,1200
31/ago/17;157,57;2,4600;4,4700
30/set/17;154,23;2,5400;4,3700
31/out/17;157,54;2,7000;3,8900
30/nov/17;162,52;2,8000;4,1400
31/dez/17;171,15;2,9500;3,9900
